Time,Ar,He,Ne,N2,CH4(1),CO2(2),H2O(3),H2(4),CO(5),C2H6(6),site(7),HX(8),CO2X(9),OX(10),OCX(11),HOX(12),H2OX(13),CX(14),CHX(15),CH2X(16),CH3X(17),CH4X(18),HOCXO(19),CXHO(20),HCOOX(21),CXOH(22),HCXOH(23),H2CXOH(24),C2H6X(25),C2H5X(26),CHCH3X(27),CXCH3(28),CXCH2(29),CXHCH2(30),CH3CXO(31)
0.0,0.7722,0.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.7725441,0.0,0.0,0.0,0.0,0.0,0.0,0.2274559,0.0,0.0,0.7544972,0.2455028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.7725337,0.0,0.0,0.0,0.0,0.0,0.0,0.2274663,0.0,0.0,0.7544869,0.2455131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.7725237,0.0,0.0,0.0,0.0,0.0,0.0,0.2274763,0.0,0.0,0.7544818,0.2455182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.7725139,0.0,0.0,0.0,0.0,0.0,0.0,0.2274861,0.0,0.0,0.7544775,0.2455225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.7725044,0.0,0.0,0.0,0.0,0.0,0.0,0.2274956,0.0,0.0,0.7544736,0.2455264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.7724953,0.0,0.0,0.0,0.0,0.0,0.0,0.2275047,0.0,0.0,0.75447,0.24553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.7724863,0.0,0.0,0.0,0.0,0.0,0.0,0.2275137,0.0,0.0,0.7544664,0.2455336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.7724777,0.0,0.0,0.0,0.0,0.0,0.0,0.2275223,0.0,0.0,0.7544627,0.2455373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.7724693,0.0,0.0,0.0,0.0,0.0,0.0,0.2275307,0.0,0.0,0.7544596,0.2455404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.7724612,0.0,0.0,0.0,0.0,0.0,0.0,0.2275388,0.0,0.0,0.7544562,0.2455438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.7724533,0.0,0.0,0.0,0.0,0.0,0.0,0.2275467,0.0,0.0,0.754453,0.245547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.7724457,0.0,0.0,0.0,0.0,0.0,0.0,0.2275543,0.0,0.0,0.7544498,0.2455502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.7724383,0.0,0.0,0.0,0.0,0.0,0.0,0.2275617,0.0,0.0,0.7544468,0.2455532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.7724311,0.0,0.0,0.0,0.0,0.0,0.0,0.2275689,0.0,0.0,0.7544439,0.2455561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.7724241,0.0,0.0,0.0,0.0,0.0,0.0,0.2275759,0.0,0.0,0.754441,0.245559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.7724173,0.0,0.0,0.0,0.0,0.0,0.0,0.2275827,0.0,0.0,0.7544382,0.2455618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.7724108,0.0,0.0,0.0,0.0,0.0,0.0,0.2275892,0.0,0.0,0.7544355,0.2455645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.7724044,0.0,0.0,0.0,0.0,0.0,0.0,0.2275956,0.0,0.0,0.7544329,0.2455671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.7723983,0.0,0.0,0.0,0.0,0.0,0.0,0.2276017,0.0,0.0,0.7544304,0.2455696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.7723923,0.0,0.0,0.0,0.0,0.0,0.0,0.2276077,0.0,0.0,0.7544279,0.2455721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.7723865,0.0,0.0,0.0,0.0,0.0,0.0,0.2276135,0.0,0.0,0.7544259,0.2455741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.7723809,0.0,0.0,0.0,0.0,0.0,0.0,0.2276191,0.0,0.0,0.7544237,0.2455763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.7723754,0.0,0.0,0.0,0.0,0.0,0.0,0.2276246,0.0,0.0,0.7544213,0.2455787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.7723701,0.0,0.0,0.0,0.0,0.0,0.0,0.2276299,0.0,0.0,0.7544191,0.2455809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.772365,0.0,0.0,0.0,0.0,0.0,0.0,0.227635,0.0,0.0,0.754417,0.245583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.77236,0.0,0.0,0.0,0.0,0.0,0.0,0.22764,0.0,0.0,0.754415,0.245585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.7723552,0.0,0.0,0.0,0.0,0.0,0.0,0.2276448,0.0,0.0,0.7544131,0.2455869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.7723505,0.0,0.0,0.0,0.0,0.0,0.0,0.2276495,0.0,0.0,0.7544114,0.2455886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.772346,0.0,0.0,0.0,0.0,0.0,0.0,0.227654,0.0,0.0,0.7544096,0.2455904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.7723415,0.0,0.0,0.0,0.0,0.0,0.0,0.2276585,0.0,0.0,0.7544077,0.2455923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.7723373,0.0,0.0,0.0,0.0,0.0,0.0,0.2276627,0.0,0.0,0.754406,0.245594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.7723331,0.0,0.0,0.0,0.0,0.0,0.0,0.2276669,0.0,0.0,0.7544043,0.2455957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.7723291,0.0,0.0,0.0,0.0,0.0,0.0,0.2276709,0.0,0.0,0.7544027,0.2455973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.7723252,0.0,0.0,0.0,0.0,0.0,0.0,0.2276748,0.0,0.0,0.7544012,0.2455988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.7723214,0.0,0.0,0.0,0.0,0.0,0.0,0.2276786,0.0,0.0,0.7543995,0.2456005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.7723178,0.0,0.0,0.0,0.0,0.0,0.0,0.2276822,0.0,0.0,0.754398,0.245602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.7723142,0.0,0.0,0.0,0.0,0.0,0.0,0.2276858,0.0,0.0,0.7543967,0.2456033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.7723108,0.0,0.0,0.0,0.0,0.0,0.0,0.2276892,0.0,0.0,0.7543952,0.2456048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.7723074,0.0,0.0,0.0,0.0,0.0,0.0,0.2276926,0.0,0.0,0.7543939,0.2456061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.7723042,0.0,0.0,0.0,0.0,0.0,0.0,0.2276958,0.0,0.0,0.7543925,0.2456075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
